date,code,open,high,low,close
2019-02-25,sz.000789,11.9500,12.5200,11.8100,12.4600
2019-02-25,sz.000790,4.7200,4.9500,4.7000,4.9300
2019-02-25,sz.000791,5.5500,5.7300,5.4900,5.7000
2019-02-25,sz.000792,6.7600,7.0700,6.6800,7.0000
2019-02-25,sz.000793,3.3900,3.6200,3.3000,3.5700
2019-02-25,sz.000795,4.1900,4.4300,4.1500,4.3600
2019-02-25,sz.000796,7.0200,7.5900,7.0200,7.4400
2019-02-25,sz.000797,5.3100,5.5700,5.3100,5.5300
2019-02-25,sz.000798,6.0400,6.5200,6.0400,6.4800
2019-02-25,sz.000799,18.1000,18.9400,18.1000,18.8700
2019-02-25,sz.000800,8.0500,8.3800,8.0400,8.3000
2019-02-25,sz.000801,5.5800,5.9000,5.5800,5.8000
2019-02-25,sz.000802,13.5600,13.9300,13.4500,13.7900
2019-02-25,sz.000803,12.4000,13.5100,12.4000,13.1400
2019-02-25,sz.000806,4.0600,4.2500,4.0100,4.2300
2019-02-25,sz.000807,4.1900,4.5000,4.1600,4.5000
2019-02-25,sz.000809,2.6500,2.7400,2.6400,2.7400
2019-02-25,sz.000810,7.1700,7.4600,7.1500,7.4300
2019-02-25,sz.000811,6.0200,6.3700,5.9000,6.2500
2019-02-25,sz.000812,4.3400,4.6200,4.2000,4.5600
2019-02-25,sz.000813,8.5400,8.6200,8.4200,8.5200
2019-02-25,sz.000815,7.9400,8.2600,7.7100,8.1600
2019-02-25,sz.000816,1.8400,1.9100,1.8400,1.9000
2019-02-25,sz.000818,9.8600,10.3200,9.8600,10.2300
2019-02-25,sz.000819,9.6300,10.0100,9.6200,10.0000
2019-02-25,sz.000820,5.3600,5.8000,5.3300,5.7000
2019-02-25,sz.000821,8.5800,9.0500,8.4200,8.9800
2019-02-25,sz.000822,5.2800,5.5100,5.2800,5.5000
2019-02-25,sz.000823,10.3200,10.6700,10.0600,10.4900
2019-02-25,sz.000825,4.7800,4.9900,4.7500,4.9800
2019-02-25,sz.000826,11.1800,11.7400,11.1000,11.7200
2019-02-25,sz.000828,9.5000,9.9200,9.2600,9.8700
2019-02-25,sz.000829,5.8000,6.1400,5.7800,6.1300
2019-02-25,sz.000830,12.9000,13.3500,12.6900,13.2500
2019-02-25,sz.000831,9.3200,10.1900,9.3200,10.0000
2019-02-25,sz.000833,5.1800,5.3600,5.1500,5.3300
2019-02-25,sz.000835,4.3500,4.6000,4.3400,4.5200
2019-02-25,sz.000836,4.4700,4.6900,4.4200,4.5700
2019-02-25,sz.000837,4.5000,4.8100,4.4000,4.6500
2019-02-25,sz.000838,3.2300,3.4900,3.2100,3.4900
2019-02-25,sz.000839,4.5000,4.6900,4.4200,4.6000
2019-02-25,sz.000848,8.5200,8.8500,8.4700,8.8100
2019-02-25,sz.000850,3.9000,4.1600,3.8300,4.1400
2019-02-25,sz.000851,5.7000,5.9300,5.6100,5.8200
2019-02-25,sz.000852,7.9600,8.4500,7.8800,8.3400
2019-02-25,sz.000856,14.2000,15.5300,14.1200,15.5300
2019-02-25,sz.000858,68.6600,71.8500,67.4900,71.2600
2019-02-25,sz.000859,7.3400,8.0100,7.2600,8.0100
2019-02-25,sz.000860,40.9800,42.8400,40.9000,42.5000
2019-02-25,sz.000861,2.6300,2.7500,2.6200,2.7400
2019-02-25,sz.000862,7.5500,7.9900,7.3000,7.7500
2019-02-25,sz.000863,4.3000,4.4500,4.2900,4.4000
2019-02-25,sz.000868,3.5000,3.7500,3.4900,3.6700
2019-02-25,sz.000869,28.1900,29.2700,28.0400,29.2600
2019-02-25,sz.000875,2.7000,2.8200,2.6800,2.8000
2019-02-25,sz.000876,9.9600,10.7200,9.6700,10.4900
2019-02-25,sz.000877,8.3000,8.7100,8.2800,8.6800
2019-02-25,sz.000878,9.2500,9.9300,9.1600,9.9300
2019-02-25,sz.000880,8.2300,8.4900,8.2300,8.4800
2019-02-25,sz.000881,8.1600,8.4800,8.1400,8.4500
2019-02-25,sz.000882,2.4500,2.5500,2.4400,2.5400
2019-02-25,sz.000883,3.9400,4.1700,3.9300,4.1500
2019-02-25,sz.000885,7.9600,8.3500,7.9600,8.3000
2019-02-25,sz.000886,4.3000,4.4000,4.2500,4.4000
2019-02-25,sz.000887,11.3900,11.7300,11.1600,11.6700
2019-02-25,sz.000888,6.5200,6.7200,6.5000,6.7100
2019-02-25,sz.000889,10.6100,11.0600,10.5500,10.9400
2019-02-25,sz.000890,6.8500,7.3300,6.5300,7.0400
2019-02-25,sz.000892,5.0000,5.2300,4.9900,5.1800
2019-02-25,sz.000893,4.8000,4.9100,4.7800,4.8300
2019-02-25,sz.000895,24.0000,24.8200,23.8000,24.7700
2019-02-25,sz.000897,2.5400,2.7500,2.5400,2.6900
2019-02-25,sz.000898,5.4400,5.6800,5.4300,5.6600
